question_id,missed_tables_count,extra_tables_count,missed_tables,extra_tables,recall,tables_filtered_percentage
0,0,1,set(),{'schools'},1.0,33.33333333333333
1,0,0,set(),set(),1.0,66.66666666666666
2,1,0,{'frpm'},set(),0.5,66.66666666666666
3,0,0,set(),set(),1.0,33.33333333333333
4,1,0,{'frpm'},set(),0.5,66.66666666666666
5,0,0,set(),set(),1.0,33.33333333333333
6,1,1,{'schools'},{'frpm'},0.5,33.33333333333333
7,0,0,set(),set(),1.0,33.33333333333333
8,0,0,set(),set(),1.0,33.33333333333333
9,0,1,set(),{'schools'},1.0,0.0
89,0,2,set(),"{'card', 'trans'}",1.0,50.0
90,0,0,set(),set(),1.0,62.5
91,0,0,set(),set(),1.0,87.5
92,0,0,set(),set(),1.0,75.0
93,0,1,set(),{'account'},1.0,62.5
94,0,1,set(),{'disp'},1.0,50.0
95,0,1,set(),{'disp'},1.0,50.0
96,0,1,set(),{'client'},1.0,62.5
97,1,1,{'account'},{'client'},0.5,75.0
98,0,0,set(),set(),1.0,75.0
195,0,0,set(),set(),1.0,75.0
196,0,0,set(),set(),1.0,50.0
197,0,0,set(),set(),1.0,50.0
198,1,0,{'atom'},set(),0.6666666666666666,50.0
199,0,0,set(),set(),1.0,50.0
200,0,0,set(),set(),1.0,50.0
201,0,1,set(),{'connected'},1.0,25.0
202,0,0,set(),set(),1.0,75.0
203,0,0,set(),set(),1.0,75.0
204,0,0,set(),set(),1.0,75.0
340,0,0,set(),set(),1.0,83.33333333333334
341,0,0,set(),set(),1.0,83.33333333333334
342,0,0,set(),set(),1.0,83.33333333333334
343,0,0,set(),set(),1.0,83.33333333333334
344,0,0,set(),set(),1.0,66.66666666666666
345,0,0,set(),set(),1.0,66.66666666666666
346,0,0,set(),set(),1.0,66.66666666666666
347,1,1,{'rulings'},{'ruling'},0.5,66.66666666666666
348,1,1,{'rulings'},{'ruling'},0.5,66.66666666666666
349,1,1,{'rulings'},{'ruling'},0.5,66.66666666666666
531,0,0,set(),set(),1.0,87.5
532,0,0,set(),set(),1.0,87.5
533,0,0,set(),set(),1.0,87.5
534,0,0,set(),set(),1.0,87.5
535,0,0,set(),set(),1.0,87.5
536,0,0,set(),set(),1.0,87.5
537,0,0,set(),set(),1.0,75.0
538,0,0,set(),set(),1.0,75.0
539,0,0,set(),set(),1.0,75.0
540,0,0,set(),set(),1.0,75.0
717,0,0,set(),set(),1.0,70.0
718,0,1,set(),{'superhero'},1.0,70.0
719,0,0,set(),set(),1.0,70.0
720,0,0,set(),set(),1.0,80.0
721,0,0,set(),set(),1.0,80.0
722,0,0,set(),set(),1.0,80.0
723,0,0,set(),set(),1.0,60.0
724,0,0,set(),set(),1.0,80.0
725,0,0,set(),set(),1.0,80.0
726,0,0,set(),set(),1.0,80.0
846,0,1,set(),{'races'},1.0,76.92307692307693
847,1,2,{'qualifying'},"{'races', 'laptimes'}",0.5,76.92307692307693
848,0,0,set(),set(),1.0,84.61538461538461
849,0,0,set(),set(),1.0,84.61538461538461
850,0,0,set(),set(),1.0,84.61538461538461
851,1,3,{'constructorstandings'},"{'races', 'circuits', 'constructorresults'}",0.5,69.23076923076923
852,0,0,set(),set(),1.0,84.61538461538461
853,0,0,set(),set(),1.0,84.61538461538461
854,0,0,set(),set(),1.0,84.61538461538461
855,0,0,set(),set(),1.0,84.61538461538461
1020,0,0,set(),set(),1.0,85.71428571428571
1021,0,0,set(),set(),1.0,85.71428571428571
1022,0,1,set(),{'player'},1.0,71.42857142857143
1023,0,0,set(),set(),1.0,85.71428571428571
1024,0,1,set(),{'player'},1.0,71.42857142857143
1025,0,0,set(),set(),1.0,71.42857142857143
1026,0,0,set(),set(),1.0,71.42857142857143
1027,0,0,set(),set(),1.0,71.42857142857143
1028,1,0,{'team'},set(),0.6666666666666666,71.42857142857143
1029,1,0,{'team'},set(),0.5,85.71428571428571
1149,0,0,set(),set(),1.0,66.66666666666666
1150,0,0,set(),set(),1.0,66.66666666666666
1151,0,0,set(),set(),1.0,66.66666666666666
1152,0,0,set(),set(),1.0,66.66666666666666
1153,0,0,set(),set(),1.0,33.33333333333333
1154,0,0,set(),set(),1.0,33.33333333333333
1155,0,0,set(),set(),1.0,33.33333333333333
1156,0,0,set(),set(),1.0,33.33333333333333
1157,0,0,set(),set(),1.0,33.33333333333333
1158,0,0,set(),set(),1.0,33.33333333333333
1312,0,0,set(),set(),1.0,75.0
1313,0,0,set(),set(),1.0,75.0
1314,0,0,set(),set(),1.0,75.0
1315,0,0,set(),set(),1.0,75.0
1316,1,0,{'event'},set(),0.6666666666666666,75.0
1317,0,0,set(),set(),1.0,62.5
1318,0,0,set(),set(),1.0,75.0
1319,0,0,set(),set(),1.0,75.0
1320,0,0,set(),set(),1.0,62.5
1321,0,0,set(),set(),1.0,62.5
1470,0,2,set(),"{'transactions_1k', 'products'}",1.0,40.0
1471,0,0,set(),set(),1.0,80.0
1472,0,0,set(),set(),1.0,60.0
1473,0,0,set(),set(),1.0,60.0
1474,0,0,set(),set(),1.0,60.0
1475,1,0,{'customers'},set(),0.5,80.0
1476,0,0,set(),set(),1.0,60.0
1477,1,1,{'yearmonth'},{'transactions_1k'},0.5,60.0
1478,0,0,set(),set(),1.0,60.0
1479,0,0,set(),set(),1.0,60.0
