question_id,db_id,gold_tables,predicted_tables,total_tables
0,california_schools,['frpm'],"['frpm', 'schools']",3
1,california_schools,['frpm'],['frpm'],3
2,california_schools,"['frpm', 'schools']",['schools'],3
3,california_schools,"['frpm', 'schools']","['frpm', 'schools']",3
4,california_schools,"['frpm', 'schools']",['schools'],3
5,california_schools,"['satscores', 'schools']","['satscores', 'schools']",3
6,california_schools,"['satscores', 'schools']","['frpm', 'satscores']",3
7,california_schools,"['satscores', 'schools']","['satscores', 'schools']",3
8,california_schools,"['frpm', 'satscores']","['frpm', 'satscores']",3
9,california_schools,"['frpm', 'satscores']","['frpm', 'satscores', 'schools']",3
89,financial,"['account', 'district']","['account', 'card', 'district', 'trans']",8
90,financial,"['account', 'district', 'loan']","['account', 'district', 'loan']",8
91,financial,['district'],['district'],8
92,financial,"['client', 'district']","['client', 'district']",8
93,financial,"['client', 'district']","['account', 'client', 'district']",8
94,financial,"['account', 'client', 'district']","['account', 'client', 'disp', 'district']",8
95,financial,"['account', 'client', 'district']","['account', 'client', 'disp', 'district']",8
96,financial,"['account', 'disp']","['account', 'client', 'disp']",8
97,financial,"['account', 'disp']","['client', 'disp']",8
98,financial,"['account', 'loan']","['account', 'loan']",8
195,toxicology,['bond'],['bond'],4
196,toxicology,"['atom', 'molecule']","['atom', 'molecule']",4
197,toxicology,"['atom', 'bond']","['atom', 'bond']",4
198,toxicology,"['atom', 'bond', 'molecule']","['bond', 'molecule']",4
199,toxicology,"['atom', 'molecule']","['atom', 'molecule']",4
200,toxicology,"['bond', 'molecule']","['bond', 'molecule']",4
201,toxicology,"['atom', 'bond']","['atom', 'bond', 'connected']",4
202,toxicology,['bond'],['bond'],4
203,toxicology,['atom'],['atom'],4
204,toxicology,['molecule'],['molecule'],4
340,card_games,['cards'],['cards'],6
341,card_games,['cards'],['cards'],6
342,card_games,['cards'],['cards'],6
343,card_games,['cards'],['cards'],6
344,card_games,"['cards', 'legalities']","['cards', 'legalities']",6
345,card_games,"['cards', 'legalities']","['cards', 'legalities']",6
346,card_games,"['cards', 'legalities']","['cards', 'legalities']",6
347,card_games,"['cards', 'rulings']","['cards', 'ruling']",6
348,card_games,"['cards', 'rulings']","['cards', 'ruling']",6
349,card_games,"['cards', 'rulings']","['cards', 'ruling']",6
531,codebase_community,['users'],['users'],8
532,codebase_community,['users'],['users'],8
533,codebase_community,['users'],['users'],8
534,codebase_community,['users'],['users'],8
535,codebase_community,['users'],['users'],8
536,codebase_community,['users'],['users'],8
537,codebase_community,"['posts', 'users']","['posts', 'users']",8
538,codebase_community,"['posts', 'users']","['posts', 'users']",8
539,codebase_community,"['posts', 'users']","['posts', 'users']",8
540,codebase_community,"['posts', 'users']","['posts', 'users']",8
717,superhero,"['hero_power', 'superhero', 'superpower']","['hero_power', 'superhero', 'superpower']",10
718,superhero,"['hero_power', 'superpower']","['hero_power', 'superhero', 'superpower']",10
719,superhero,"['hero_power', 'superhero', 'superpower']","['hero_power', 'superhero', 'superpower']",10
720,superhero,"['hero_power', 'superhero']","['hero_power', 'superhero']",10
721,superhero,"['colour', 'superhero']","['colour', 'superhero']",10
722,superhero,"['colour', 'superhero']","['colour', 'superhero']",10
723,superhero,"['colour', 'hero_power', 'superhero', 'superpower']","['colour', 'hero_power', 'superhero', 'superpower']",10
724,superhero,"['colour', 'superhero']","['colour', 'superhero']",10
